name,len,Long Title
BenderSpink,2,"['Vacation (2015)', 'Horrible Bosses 2 (2014)']"
Monkeypaw Productions,2,"['Monkey Man (2024)', 'Keanu (2016)']"
Big Indie Pictures,2,"['Jackpot! (2024)', 'Killer Heat (2024)']"
Imperative Entertainment,1,['Killers of the Flower Moon (2023)']
Tri-State Pictures,1,['The Bikeriders (2023)']
Annapurna Pictures,1,['Nimona (2023)']
Advantage Entertainment,1,['Holiday in the Wild (2019)']
BondIt Media Capital,1,['Woman of the Hour (2023)']
Tencent Pictures,1,['Kong: Skull Island (2017)']
Alibaba Pictures Group,1,['Green Book (2018)']
Lucky Treehouse,1,['The Peanut Butter Falcon (2019)']
Two Flints,1,['It Follows (2014)']
Taggart Productions,1,['The Giant Mechanical Man (2012)']
Curious Film,1,['Hunt for the Wilderpeople (2016)']
Studio Colorido Co.,1,['Drifting Home (2022)']
Cosmo Films,1,['Sing Street (2016)']
ShivHans Pictures,1,['Hit Man (2023)']
Firsttake Entertainment,1,['Little Italy (2018)']
Locksmith Animation,1,"[""Ron's Gone Wrong (2021)""]"
LStar Capital,1,['Pixels (2015)']
Orion Pictures,1,['Bottoms (2023)']
Hemisphere Media Capital,1,['The Adventures of Tintin (2011)']
Louisiana Entertainment,1,['Green Book (2018)']
Cygames,1,['Maboroshi (2023)']
Warner Bros.,1,['Maboroshi (2023)']
Ventaro Film,1,['Boy Kills World (2023)']
Film Croppers Entertainment,1,['Pixels (2015)']
Witness Protection Films,1,['Movie 43 (2013)']
Genre Films,1,['Lift (2024)']
Jason T. Reed Productions,1,['Kingdom of the Planet of the Apes (2024)']
Henson Organisation,1,['The Dark Crystal (1982)']
Yale Productions,1,['After Everything (2018)']
Hasbro Studios,1,['Dungeons & Dragons: Honor Among Thieves (2023)']
Ad hoc studios,1,"[""The Pope's Exorcist (2023)""]"
Star Thrower Entertainment,1,['8-Bit Christmas (2021)']
Le Grisbi Productions,1,['Birdman or (The Unexpected Virtue of Ignorance) (2014)']
Nine Stories Productions,1,['The Guilty (2021)']
The SPA Studios,1,['Klaus (2019)']
QC Entertainment,1,['The Wrong Missy (2020)']
Allspark Pictures,1,['Dungeons & Dragons: Honor Among Thieves (2023)']
ESX Entertainment,1,['A Hollywood Christmas (2022) (TV)']
Northern Lights Films,1,['It Follows (2014)']
